"id", "name", "isHighlight", "primaryImage", "link", "countryId", "departmentId", "accessionYear"
153, "Carafe", False, "https://images.metmuseum.org/CRDImages/ad/original/223430.jpg", "https://www.metmuseum.org/art/collection/search/1413", 1, 1, 1980
154, "Card", False, "https://images.metmuseum.org/CRDImages/ad/original/37721.jpg", "https://www.metmuseum.org/art/collection/search/1414", 1, 1, 1917
155, "Card Table", False, "https://images.metmuseum.org/CRDImages/ad/original/12010.jpg", "https://www.metmuseum.org/art/collection/search/1416", 1, 1, 1910
156, "Card table", False, "https://images.metmuseum.org/CRDImages/ad/original/ADA6290.jpg", "https://www.metmuseum.org/art/collection/search/1423", 1, 1, 1932
157, "Card and backgammon table", False, "https://images.metmuseum.org/CRDImages/ad/original/112191.jpg", "https://www.metmuseum.org/art/collection/search/1425", 1, 1, 1937
158, "Carriage Clock", False, "https://images.metmuseum.org/CRDImages/ad/original/233549.jpg", "https://www.metmuseum.org/art/collection/search/1454", 1, 1, 1981
159, "Casement Window", False, "https://images.metmuseum.org/CRDImages/ad/original/111968.jpg", "https://www.metmuseum.org/art/collection/search/1457", 1, 1, 1937
160, "Caster", False, "https://images.metmuseum.org/CRDImages/ad/original/DP110830.jpg", "https://www.metmuseum.org/art/collection/search/1461", 1, 1, 1933
161, "Pepper Box", False, "https://images.metmuseum.org/CRDImages/ad/original/DP110813.jpg", "https://www.metmuseum.org/art/collection/search/1463", 1, 1, 1933
162, "Pepper Caster", False, "https://images.metmuseum.org/CRDImages/ad/original/DP110836.jpg", "https://www.metmuseum.org/art/collection/search/1470", 1, 1, 1943
163, "Castor Bottle", False, "https://images.metmuseum.org/CRDImages/ad/original/ADA5070.jpg", "https://www.metmuseum.org/art/collection/search/1482", 1, 1, 1980
164, "Two-handled Cup", False, "https://images.metmuseum.org/CRDImages/ad/original/DP107239.jpg", "https://www.metmuseum.org/art/collection/search/1486", 1, 1, 1933
165, "Celery Dish", False, "https://images.metmuseum.org/CRDImages/ad/original/DP256730.jpg", "https://www.metmuseum.org/art/collection/search/1489", 1, 1, 1914
166, "Celery Glass", False, "https://images.metmuseum.org/CRDImages/ad/original/80888.jpg", "https://www.metmuseum.org/art/collection/search/1490", 1, 1, 1930
167, "Celery Vase", False, "https://images.metmuseum.org/CRDImages/ad/original/174857.jpg", "https://www.metmuseum.org/art/collection/search/1493", 1, 1, 1946
168, "Celery vase", False, "https://images.metmuseum.org/CRDImages/ad/original/DP207375.jpg", "https://www.metmuseum.org/art/collection/search/1498", 1, 1, 1980
169, "Hobnail celery vase", False, "https://images.metmuseum.org/CRDImages/ad/original/176927.jpg", "https://www.metmuseum.org/art/collection/search/1506", 1, 1, 1946
170, "Hobnail Celery vase", False, "https://images.metmuseum.org/CRDImages/ad/original/DP208396.jpg", "https://www.metmuseum.org/art/collection/search/1507", 1, 1, 1946
171, "Cellaret", False, "https://images.metmuseum.org/CRDImages/ad/original/194349.jpg", "https://www.metmuseum.org/art/collection/search/1522", 1, 1, 1970
172, "Century Vase", True, "https://images.metmuseum.org/CRDImages/ad/original/DP222293.jpg", "https://www.metmuseum.org/art/collection/search/1524", 1, 1, 1987
173, "Center Table", False, "https://images.metmuseum.org/CRDImages/ad/original/170375.jpg", "https://www.metmuseum.org/art/collection/search/1528", 1, 1, 1960
174, "Chafing Dish", False, "https://images.metmuseum.org/CRDImages/ad/original/DP216622.jpg", "https://www.metmuseum.org/art/collection/search/1535", 1, 1, 1933
175, "Cane side chair", False, "https://images.metmuseum.org/CRDImages/ad/original/79686.jpg", "https://www.metmuseum.org/art/collection/search/1542", 2, 1, 1910
176, "Slop bowl", False, "https://images.metmuseum.org/CRDImages/ad/original/DP157656.jpg", "https://www.metmuseum.org/art/collection/search/1548", 1, 1, 2006
177, "Spindle-back chair", False, "https://images.metmuseum.org/CRDImages/ad/original/85B_ACF106R7.jpg", "https://www.metmuseum.org/art/collection/search/1568", 1, 1, 1910
