id,name,isHighlight,primaryImage,link,countryId,departmentId,accessionYear
144,"Candle Stand",0,https://images.metmuseum.org/CRDImages/ad/original/DP157245.jpg,https://www.metmuseum.org/art/collection/search/1174,1,1,1966
145,Stand,0,https://images.metmuseum.org/CRDImages/ad/original/ADA207.jpg,https://www.metmuseum.org/art/collection/search/1180,1,1,1969
146,Candlestick,0,https://images.metmuseum.org/CRDImages/ad/original/DP250138.jpg,https://www.metmuseum.org/art/collection/search/1183,11,1,1911
147,"Candlestick and Candle",0,https://images.metmuseum.org/CRDImages/ad/original/186607.jpg,https://www.metmuseum.org/art/collection/search/1205,2,1,1946
148,"Candlestick with Shade",0,https://images.metmuseum.org/CRDImages/ad/original/81012-3.jpg,https://www.metmuseum.org/art/collection/search/1370,2,1,1930
149,"Candlestick and Shade",0,https://images.metmuseum.org/CRDImages/ad/original/80749.jpg,https://www.metmuseum.org/art/collection/search/1372,2,1,1930
150,Cane,0,https://images.metmuseum.org/CRDImages/ad/original/204434.jpg,https://www.metmuseum.org/art/collection/search/1396,1,1,1974
151,Cann,0,https://images.metmuseum.org/CRDImages/ad/original/DP105882.jpg,https://www.metmuseum.org/art/collection/search/1398,1,1,1958
152,"Column Base and Capital",0,https://images.metmuseum.org/CRDImages/ad/original/DP232787.jpg,https://www.metmuseum.org/art/collection/search/1406,6,1,1968
153,Carafe,0,https://images.metmuseum.org/CRDImages/ad/original/223430.jpg,https://www.metmuseum.org/art/collection/search/1413,1,1,1980
154,Card,0,https://images.metmuseum.org/CRDImages/ad/original/37721.jpg,https://www.metmuseum.org/art/collection/search/1414,1,1,1917
155,"Card Table",0,https://images.metmuseum.org/CRDImages/ad/original/12010.jpg,https://www.metmuseum.org/art/collection/search/1416,1,1,1910
156,"Card table",0,https://images.metmuseum.org/CRDImages/ad/original/ADA6290.jpg,https://www.metmuseum.org/art/collection/search/1423,1,1,1932
157,"Card and backgammon table",0,https://images.metmuseum.org/CRDImages/ad/original/112191.jpg,https://www.metmuseum.org/art/collection/search/1425,1,1,1937
158,"Carriage Clock",0,https://images.metmuseum.org/CRDImages/ad/original/233549.jpg,https://www.metmuseum.org/art/collection/search/1454,1,1,1981
159,"Casement Window",0,https://images.metmuseum.org/CRDImages/ad/original/111968.jpg,https://www.metmuseum.org/art/collection/search/1457,1,1,1937
160,Caster,0,https://images.metmuseum.org/CRDImages/ad/original/DP110830.jpg,https://www.metmuseum.org/art/collection/search/1461,1,1,1933
161,"Pepper Box",0,https://images.metmuseum.org/CRDImages/ad/original/DP110813.jpg,https://www.metmuseum.org/art/collection/search/1463,1,1,1933
162,"Pepper Caster",0,https://images.metmuseum.org/CRDImages/ad/original/DP110836.jpg,https://www.metmuseum.org/art/collection/search/1470,1,1,1943
163,"Castor Bottle",0,https://images.metmuseum.org/CRDImages/ad/original/ADA5070.jpg,https://www.metmuseum.org/art/collection/search/1482,1,1,1980
164,"Two-handled Cup",0,https://images.metmuseum.org/CRDImages/ad/original/DP107239.jpg,https://www.metmuseum.org/art/collection/search/1486,1,1,1933
165,"Celery Dish",0,https://images.metmuseum.org/CRDImages/ad/original/DP256730.jpg,https://www.metmuseum.org/art/collection/search/1489,1,1,1914
166,"Celery Glass",0,https://images.metmuseum.org/CRDImages/ad/original/80888.jpg,https://www.metmuseum.org/art/collection/search/1490,1,1,1930
167,"Celery Vase",0,https://images.metmuseum.org/CRDImages/ad/original/174857.jpg,https://www.metmuseum.org/art/collection/search/1493,1,1,1946
168,"Celery vase",0,https://images.metmuseum.org/CRDImages/ad/original/DP207375.jpg,https://www.metmuseum.org/art/collection/search/1498,1,1,1980
169,"Hobnail celery vase",0,https://images.metmuseum.org/CRDImages/ad/original/176927.jpg,https://www.metmuseum.org/art/collection/search/1506,1,1,1946
170,"Hobnail Celery vase",0,https://images.metmuseum.org/CRDImages/ad/original/DP208396.jpg,https://www.metmuseum.org/art/collection/search/1507,1,1,1946
171,Cellaret,0,https://images.metmuseum.org/CRDImages/ad/original/194349.jpg,https://www.metmuseum.org/art/collection/search/1522,1,1,1970
172,"Century Vase",1,https://images.metmuseum.org/CRDImages/ad/original/DP222293.jpg,https://www.metmuseum.org/art/collection/search/1524,1,1,1987
173,"Center Table",0,https://images.metmuseum.org/CRDImages/ad/original/170375.jpg,https://www.metmuseum.org/art/collection/search/1528,1,1,1960
174,"Chafing Dish",0,https://images.metmuseum.org/CRDImages/ad/original/DP216622.jpg,https://www.metmuseum.org/art/collection/search/1535,1,1,1933
175,"Cane side chair",0,https://images.metmuseum.org/CRDImages/ad/original/79686.jpg,https://www.metmuseum.org/art/collection/search/1542,2,1,1910
176,"Slop bowl",0,https://images.metmuseum.org/CRDImages/ad/original/DP157656.jpg,https://www.metmuseum.org/art/collection/search/1548,1,1,2006
177,"Spindle-back chair",0,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF106R7.jpg,https://www.metmuseum.org/art/collection/search/1568,1,1,1910
178,"Leather chair",0,https://images.metmuseum.org/CRDImages/ad/original/85C_ACF126R7.jpg,https://www.metmuseum.org/art/collection/search/1588,1,1,1929
179,"Turkey-work chair",0,https://images.metmuseum.org/CRDImages/ad/original/85C_ACF124R7.jpg,https://www.metmuseum.org/art/collection/search/1619,1,1,1952
180,Chair,0,https://images.metmuseum.org/CRDImages/ad/original/235630.jpg,https://www.metmuseum.org/art/collection/search/1648,1,1,1981
181,"Pair of side chairs",0,https://images.metmuseum.org/CRDImages/ad/original/ADA265.jpg,https://www.metmuseum.org/art/collection/search/1729,1,1,1947
182,"Banister-back chair",0,https://images.metmuseum.org/CRDImages/ad/original/DT240390.jpg,https://www.metmuseum.org/art/collection/search/1731,1,1,1952
183,Chair-table,0,https://images.metmuseum.org/CRDImages/ad/original/85E_ACF119AR7.jpg,https://www.metmuseum.org/art/collection/search/1922,1,1,1910
184,Chalice,0,https://images.metmuseum.org/CRDImages/ad/original/127252.jpg,https://www.metmuseum.org/art/collection/search/1923,1,1,1942
185,"Chamber Candlestick",0,https://images.metmuseum.org/CRDImages/ad/original/123897.jpg,https://www.metmuseum.org/art/collection/search/1928,1,1,1941
186,"Chamber Table",0,https://images.metmuseum.org/CRDImages/ad/original/85J_ACF3106R6.jpg,https://www.metmuseum.org/art/collection/search/1929,1,1,1949
187,Desk-on-frame,0,https://images.metmuseum.org/CRDImages/ad/original/153616.jpg,https://www.metmuseum.org/art/collection/search/1930,1,1,1952
188,"Champagne Glass",0,https://images.metmuseum.org/CRDImages/ad/original/DP237892.jpg,https://www.metmuseum.org/art/collection/search/1936,1,1,1974
189,Chandelier,0,https://images.metmuseum.org/CRDImages/ad/original/57960.jpg,https://www.metmuseum.org/art/collection/search/1952,2,1,1924
190,"Openwork fruit basket",0,https://images.metmuseum.org/CRDImages/ad/original/DP207185.jpg,https://www.metmuseum.org/art/collection/search/1980,1,1,2018
191,Charger,0,https://images.metmuseum.org/CRDImages/ad/original/ES5950.jpg,https://www.metmuseum.org/art/collection/search/1982,2,1,1980
192,"Hobnail Cheese Dish",0,https://images.metmuseum.org/CRDImages/ad/original/176843.jpg,https://www.metmuseum.org/art/collection/search/1984,1,1,1946
193,"Chess set",0,https://images.metmuseum.org/CRDImages/ad/original/138425.jpg,https://www.metmuseum.org/art/collection/search/1986,16,1,1946
194,"Board Chest",0,https://images.metmuseum.org/CRDImages/ad/original/85I_ACF3091R6.jpg,https://www.metmuseum.org/art/collection/search/1987,1,1,1910
195,Chest,0,https://images.metmuseum.org/CRDImages/ad/original/85H_ACF3085R4.jpg,https://www.metmuseum.org/art/collection/search/1988,1,1,1910
196,"Chest of Drawers",0,https://images.metmuseum.org/CRDImages/ad/original/3936.jpg,https://www.metmuseum.org/art/collection/search/2000,1,1,1908
197,"Chest of drawers",0,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-005.jpg,https://www.metmuseum.org/art/collection/search/2004,1,1,1910
198,"Small chest of drawers",0,https://images.metmuseum.org/CRDImages/ad/original/DT261409.jpg,https://www.metmuseum.org/art/collection/search/2008,1,1,1938
199,Chest-with-drawers,0,https://images.metmuseum.org/CRDImages/ad/original/DT207871.jpg,https://www.metmuseum.org/art/collection/search/2011,1,1,1948
200,"Chest with drawers",0,https://images.metmuseum.org/CRDImages/ad/original/85I_ACF3093R6.jpg,https://www.metmuseum.org/art/collection/search/2019,1,1,1966
201,Chest-on-chest,0,https://images.metmuseum.org/CRDImages/ad/original/43940.jpg,https://www.metmuseum.org/art/collection/search/2024,1,1,1919
202,Chest-on-frame,0,https://images.metmuseum.org/CRDImages/ad/original/DT320114.jpg,https://www.metmuseum.org/art/collection/search/2029,1,1,1910
203,"Chest with drawer",0,https://images.metmuseum.org/CRDImages/ad/original/85I_ACF3101R8.jpg,https://www.metmuseum.org/art/collection/search/2031,1,1,1910
204,"Chest with Drawer",0,https://images.metmuseum.org/CRDImages/ad/original/85I_ACF3097R4.jpg,https://www.metmuseum.org/art/collection/search/2033,1,1,1910
205,Chest-with-drawer,0,https://images.metmuseum.org/CRDImages/ad/original/85I_ACF3096R6.jpg,https://www.metmuseum.org/art/collection/search/2034,1,1,1910
206,"Chest with Drawers",0,https://images.metmuseum.org/CRDImages/ad/original/DT235346.jpg,https://www.metmuseum.org/art/collection/search/2039,1,1,1910
207,"Cheval Glass",0,https://images.metmuseum.org/CRDImages/ad/original/ADA4776.jpg,https://www.metmuseum.org/art/collection/search/2044,1,1,1969
208,"Child`s Cup",0,https://images.metmuseum.org/CRDImages/ad/original/DP107259.jpg,https://www.metmuseum.org/art/collection/search/2049,1,1,1952
209,`,0,https://images.metmuseum.org/CRDImages/ad/original/12056.jpg,https://www.metmuseum.org/art/collection/search/2050,1,1,1910
210,Steps,0,https://images.metmuseum.org/CRDImages/ad/original/32650.jpg,https://www.metmuseum.org/art/collection/search/2052,1,1,1910
211,"Covered Ewer",0,https://images.metmuseum.org/CRDImages/ad/original/214654.jpg,https://www.metmuseum.org/art/collection/search/2056,1,1,1970
212,"Chocolate Pot",0,https://images.metmuseum.org/CRDImages/ad/original/202962.jpg,https://www.metmuseum.org/art/collection/search/2057,1,1,1973
213,"Hanging Light",0,https://images.metmuseum.org/CRDImages/ad/original/134114.jpg,https://www.metmuseum.org/art/collection/search/2061,2,1,1945
214,"Cigarette Case",0,https://images.metmuseum.org/CRDImages/ad/original/DP-14591-011.jpg,https://www.metmuseum.org/art/collection/search/2067,1,1,1941
215,"Claret Glass",0,https://images.metmuseum.org/CRDImages/ad/original/187156.jpg,https://www.metmuseum.org/art/collection/search/2069,1,1,1946
216,Clasp,0,https://images.metmuseum.org/CRDImages/ad/original/DP114855.jpg,https://www.metmuseum.org/art/collection/search/2074,1,1,1948
217,"Cloak Pin",0,https://images.metmuseum.org/CRDImages/ad/original/25451.jpg,https://www.metmuseum.org/art/collection/search/2080,2,1,1883
218,Clock,0,https://images.metmuseum.org/CRDImages/ad/original/25500.jpg,https://www.metmuseum.org/art/collection/search/2091,6,1,1883
219,"Shelf Clock",0,https://images.metmuseum.org/CRDImages/ad/original/202371.jpg,https://www.metmuseum.org/art/collection/search/2098,1,1,1962
220,"Clock bracket",0,https://images.metmuseum.org/CRDImages/ad/original/17823.jpg,https://www.metmuseum.org/art/collection/search/2100,2,1,1910
